station_number,station_id,latitude,longitude
0,ACW00011647,17.1333,-61.7833
1,AG000060390,36.7167,3.25
2,AG000060590,30.5667,2.8667
3,AG000060611,28.05,9.6331
4,AG000060680,22.8,5.4331
5,AGE00135039,35.7297,0.65
6,AGE00147708,36.72,4.05
7,AGE00147716,35.1,-1.85
8,AJ000037575,41.55,46.667
9,AJ000037579,41.7,46.8
10,AJ000037605,41.3,45.6
11,AJ000037636,41.3,45.5
12,AJ000037639,41.133,45.417
13,AJ000037656,41.2,46.8
14,AJ000037661,41.217,47.167
15,AJ000037668,41.1,47.5
16,AJ000037673,41.5,48.8
17,AJ000037674,41.2,48.2
18,AJ000037679,41.1,49.2
19,AJ000037729,40.7,45.8
20,AJ000037734,40.8,46.0
21,AJ000037735,40.7167,46.4167
22,AJ000037740,40.983,47.867
23,AJ000037742,40.9,47.3
24,AJ000037744,40.767,47.05
25,AJ000037747,40.617,47.15
26,AJ000037749,40.65,47.75
27,AJ000037753,40.867,48.933
28,AJ000037759,40.633,48.633
29,AJ000037769,40.6,49.633
30,AJ000037813,40.3,45.9
31,AJ000037816,40.5,46.1
32,AJ000037825,40.4,46.3
33,AJ000037831,40.4,47.0
34,AJ000037832,40.4,47.1
35,AJ000037835,40.2,47.7
36,AJ000037844,40.333,48.167
37,AJ000037849,40.017,48.917
38,AJ000037850,40.4,49.8
39,AJ000037860,40.533,50.0
40,AJ000037861,40.2,50.9
41,AJ000037866,40.467,50.317
42,AJ000037869,40.3,50.6
43,AJ000037883,39.9,45.9
44,AJ000037888,39.5,45.8
45,AJ000037893,39.9,46.9
46,AJ000037895,39.983,46.75
47,AJ000037898,39.7,46.5
48,AJ000037899,39.767,46.75
49,AJ000037901,39.8,47.1
50,AJ000037902,39.8,47.5
51,AJ000037905,39.767,47.75
52,AJ000037907,39.6,47.15
53,AJ000037912,39.9,48.5
54,AJ000037913,39.6,48.9
55,AJ000037914,39.9,48.0
56,AJ000037922,39.8,49.6
57,AJ000037923,39.967,49.4
58,AJ000037925,39.4,49.25
59,AJ000037936,39.2,45.417
60,AJ000037941,39.4,45.6
61,AJ000037946,39.1,46.0
62,AJ000037947,38.95,45.633
63,AJ000037957,38.917,46.017
64,AJ000037962,39.4,47.0
65,AJ000037968,39.0,46.7
66,AJ000037972,39.467,48.55
67,AJ000037978,39.7,48.6
68,AJ000037981,38.9,48.2
69,AJ000037984,38.767,48.4
70,AJ000037985,38.75,48.817
