time,latitude,longitude,windspd
2019-10-01,52.25,-114.5,2.2103968
2019-10-02,52.25,-114.5,1.4095912
2019-10-03,52.25,-114.5,2.0742066
2019-10-04,52.25,-114.5,2.425576
2019-10-05,52.25,-114.5,3.2106438
2019-10-06,52.25,-114.5,2.7564764
2019-10-07,52.25,-114.5,3.46587
2019-10-08,52.25,-114.5,4.146853
2019-10-09,52.25,-114.5,2.9728963
2019-10-10,52.25,-114.5,1.6887301
2019-10-11,52.25,-114.5,2.085565
2019-10-12,52.25,-114.5,1.678285
2019-10-13,52.25,-114.5,1.8178787
2019-10-14,52.25,-114.5,3.4644508
2019-10-15,52.25,-114.5,3.541105
2019-10-16,52.25,-114.5,2.3840742
2019-10-17,52.25,-114.5,2.6113646
2019-10-18,52.25,-114.5,2.9246218
2019-10-19,52.25,-114.5,1.6293408
2019-10-20,52.25,-114.5,1.7991972
2019-10-21,52.25,-114.5,2.040903
2019-10-22,52.25,-114.5,2.5783007
2019-10-23,52.25,-114.5,5.4118447
2019-10-24,52.25,-114.5,2.5392404
2019-10-25,52.25,-114.5,3.5933993
2019-10-26,52.25,-114.5,5.992538
2019-10-27,52.25,-114.5,4.4580584
2019-10-28,52.25,-114.5,5.487701
2019-10-29,52.25,-114.5,2.3113391
2019-10-30,52.25,-114.5,1.7635202
2019-10-31,52.25,-114.5,3.443099
