time,latitude,longitude,windspd
2019-10-01,49.5,-114.5,1.3567514
2019-10-02,49.5,-114.5,2.0154293
2019-10-03,49.5,-114.5,2.2703652
2019-10-04,49.5,-114.5,2.3331797
2019-10-05,49.5,-114.5,2.6597002
2019-10-06,49.5,-114.5,2.691392
2019-10-07,49.5,-114.5,3.3498118
2019-10-08,49.5,-114.5,2.90916
2019-10-09,49.5,-114.5,1.8322579
2019-10-10,49.5,-114.5,1.408578
2019-10-11,49.5,-114.5,1.6890484
2019-10-12,49.5,-114.5,2.0976317
2019-10-13,49.5,-114.5,1.8257122
2019-10-14,49.5,-114.5,1.7740163
2019-10-15,49.5,-114.5,1.6460048
2019-10-16,49.5,-114.5,2.703681
2019-10-17,49.5,-114.5,3.6807497
2019-10-18,49.5,-114.5,3.4051793
2019-10-19,49.5,-114.5,1.9594831
2019-10-20,49.5,-114.5,1.7786074
2019-10-21,49.5,-114.5,2.3116894
2019-10-22,49.5,-114.5,2.920769
2019-10-23,49.5,-114.5,1.3129529
2019-10-24,49.5,-114.5,2.361465
2019-10-25,49.5,-114.5,3.2501915
2019-10-26,49.5,-114.5,2.1676044
2019-10-27,49.5,-114.5,1.175919
2019-10-28,49.5,-114.5,2.1652915
2019-10-29,49.5,-114.5,1.5971664
2019-10-30,49.5,-114.5,2.2732966
2019-10-31,49.5,-114.5,2.1306016
